"eventID","fieldNumber"
"ac353408-3892-436d-bf95-d2fe42f3e94d","NTNU-VM_HK_2019_NVE:vatnLnr:2478"
"852442a2-372c-492a-a058-2035a49f83f3","NTNU-VM_HK_2019_NVE:vatnLnr:5497"
"f1d0c792-0e54-4f5c-bcf5-4d8cf4af8fff","NTNU-VM_HK_2019_NVE:vatnLnr:2477"
"2dc0d05a-aefb-49d7-b7be-60c02687932b","NTNU-VM_HK_2019_NVE:vatnLnr:5339"
"c98b9252-d44c-40ac-9558-29f3bac3dc3c","NTNU-VM_HK_2019_NVE:vatnLnr:5320"
"29c6dbd3-dfd9-4687-8a36-dd0bbbdf4587","NTNU-VM_HK_2019_NVE:vatnLnr:5354"
"1c789e08-897e-4afe-b46d-49e707180753","NTNU-VM_HK_2019_NVE:vatnLnr:5252"
"d1acb3a4-f7c4-40f0-9b4d-5286170820b6","NTNU-VM_HK_2019_NVE:vatnLnr:298"
"218c9e17-2e8a-4aad-b1eb-93dfde9ac469","NTNU-VM_HK_2019_NVE:vatnLnr:2510"
"c6ed538e-62e6-48c4-96f5-49d84bf072ae","NTNU-VM_HK_2019_NVE:vatnLnr:297"
"016dc119-357e-464f-bba8-3aeb25a8f3c5","NTNU-VM_HK_2019_NVE:vatnLnr:5572"
"ce58b685-a006-44a8-b538-9d1f31c1524f","NTNU-VM_HK_2019_NVE:vatnLnr:5488"
"82982b2c-a37d-47b0-8cf6-ebf9cad4ef86","NTNU-VM_HK_2019_NVE:vatnLnr:80724"
"ac021be9-68f3-42c0-aa04-8b7fe2eb8d78","NTNU-VM_HK_2019_NVE:vatnLnr:5781"
"66153b7b-fe82-4bc1-a900-dacc6f54bfd9","NTNU-VM_HK_2019_NVE:vatnLnr:5820"
"1ce779c1-f92c-47fa-8c1a-7f3f7233a6b2","NTNU-VM_HK_2019_NVE:vatnLnr:291"
"71bc7380-21b4-4967-bf4b-66f015174fce","NTNU-VM_HK_2019_NVE:vatnLnr:5782"
"3992a596-f29f-4a99-93bb-4d4308280eb0","NTNU-VM_HK_2019_NVE:vatnLnr:5778"
"51814779-b625-4f91-bed5-e4e883fea6c2","NTNU-VM_HK_2019_NVE:vatnLnr:5915"
"066e16b5-8f99-405e-932a-f7b68eae8b83","NTNU-VM_HK_2019_NVE:vatnLnr:295"
"eda4a44a-1748-45e8-a184-b0a9d99469da","NTNU-VM_HK_2019_NVE:vatnLnr:5819"
"c6a5e14e-6e35-4ee3-b333-91a33b0e9103","NTNU-VM_HK_2019_NVE:vatnLnr:3451"
"34a48238-7a4c-4dc4-b445-5824eda9e6cb","NTNU-VM_HK_2019_NVE:vatnLnr:3470"
"84dab95f-03b3-4149-809c-bdc0355e2107","NTNU-VM_HK_2019_NVE:vatnLnr:3497"
"fe425d9a-809a-47a0-aaad-4f4bc22d8bf2","NTNU-VM_HK_2019_NVE:vatnLnr:133"
"dd48a473-671d-46d4-96d6-7861e29f7bb2","NTNU-VM_HK_2019_NVE:vatnLnr:3523"
"b9bd7fd5-a6ed-48d6-bace-d47f6800a8f4","NTNU-VM_HK_2019_NVE:vatnLnr:332"
"1b3e7e06-9ca0-4f9f-a8eb-fd45884334cc","NTNU-VM_HK_2019_NVE:vatnLnr:3499"
"95830c6a-c492-4215-aa3f-d0374c76a9b4","NTNU-VM_HK_2019_NVE:vatnLnr:316"
"dafcd7ea-51c0-4477-994a-de76debf81fd","NTNU-VM_HK_2019_NVE:vatnLnr:331"
"d4ac722a-e8f7-46b3-80ea-f14542b5bf7e","NTNU-VM_HK_2019_NVE:vatnLnr:339"
"af17bb33-4da3-458e-9e55-f01ffb92f1ee","NTNU-VM_HK_2019_NVE:vatnLnr:3385"
"9409ce86-85ca-4c0b-99df-b00947aeb4e9","NTNU-VM_HK_2019_NVE:vatnLnr:3388"
"45402981-98e6-429d-8deb-f3ef38617f25","NTNU-VM_HK_2019_NVE:vatnLnr:334"
"8981f987-48ef-448c-9859-464f804b84e1","NTNU-VM_HK_2019_NVE:vatnLnr:3490"
"2030bcbe-95cf-416f-98df-f664d854b6ef","NTNU-VM_HK_2019_NVE:vatnLnr:3541"
"b74b9ced-b41d-40e4-a484-79de241fdcf6","NTNU-VM_HK_2019_NVE:vatnLnr:318"
"c02b6595-5424-402e-a053-2a8679ac32dd","NTNU-VM_HK_2019_NVE:vatnLnr:3445"
"662ac8dc-019e-413e-88b5-847bd19e03e9","NTNU-VM_HK_2019_NVE:vatnLnr:320"
"c4bea0cf-faa4-4fe0-bcef-f573a0335b75","NTNU-VM_HK_2019_NVE:vatnLnr:3554"
"112da784-d9dd-4350-996c-a85533a4f7b3","NTNU-VM_HK_2019_NVE:vatnLnr:374"
"cdccc436-d3b7-4993-9317-122d9edc06a7","NTNU-VM_HK_2019_NVE:vatnLnr:3221"
"81853b77-5b8b-4b55-9ba3-bb0eb64c5370","NTNU-VM_HK_2019_NVE:vatnLnr:3257"
"59a785b7-e6a6-444d-a37f-37267241cc7e","NTNU-VM_HK_2019_NVE:vatnLnr:373"
"cb565c7d-38fb-4115-ac90-ddd54b798f16","NTNU-VM_HK_2019_NVE:vatnLnr:3364"
"5d9906e1-c618-48a8-886e-3e8141c57984","NTNU-VM_HK_2019_NVE:vatnLnr:335"
"8602a36f-8774-4a9d-89bf-55247fc4bebb","NTNU-VM_HK_2019_NVE:vatnLnr:323"
"d50b191f-6097-41a3-8192-4d409ead010b","NTNU-VM_HK_2019_NVE:vatnLnr:3348"
"2c185315-9ff3-48eb-91b1-1625d499b0a6","NTNU-VM_HK_2019_NVE:vatnLnr:3458"
"6461c1bc-73b8-45f7-ab79-9cd42ff83f8b","NTNU-VM_HK_2019_NVE:vatnLnr:3435"
"6192da0a-78f6-473d-b9aa-83c87e4f0ac9","NTNU-VM_HK_2019_NVE:vatnLnr:3444"
"4e44a9ea-4c83-4f64-9242-94aadaa73dda","NTNU-VM_HK_2019_NVE:vatnLnr:135"
"69a82f00-6153-43c0-85ad-aa1fd38b3c07","NTNU-VM_HK_2019_NVE:vatnLnr:3446"
"302f4c64-51ef-4b09-913b-ab0907258cc7","NTNU-VM_HK_2019_NVE:vatnLnr:134"
"bcb29829-c99b-4187-a72e-d530278cd339","NTNU-VM_HK_2019_NVE:vatnLnr:3441"
"0a47f869-9dd1-4852-b8d1-b2d9163731bd","NTNU-VM_HK_2019_NVE:vatnLnr:3418"
"c8cef2e7-749b-45ef-b91a-8c6d3738592b","NTNU-VM_HK_2019_NVE:vatnLnr:3281"
"c5a8a4e3-1f0b-4e22-8ffa-1258bc0902af","NTNU-VM_HK_2019_NVE:vatnLnr:3336"
"51742f1d-d0ac-49c3-bd99-3e09eeba4092","NTNU-VM_HK_2019_NVE:vatnLnr:3317"
"bb2c4992-ec26-4ee4-a98b-637fcc5db029","NTNU-VM_HK_2019_NVE:vatnLnr:2447"
"414ab68f-d284-44c8-a985-a21533a32f28","NTNU-VM_HK_2019_NVE:vatnLnr:64373"
"e9d5299b-1836-4448-9fe8-751bba799208","NTNU-VM_HK_2019_NVE:vatnLnr:57172"
"d41e131c-38fa-4ef7-a615-ac2d5fea0108","NTNU-VM_HK_2019_NVE:vatnLnr:2246"
"0e7ac26b-2345-4dc2-9229-aa5136eb7ea4","NTNU-VM_HK_2019_NVE:vatnLnr:51080"
"255463c0-48fd-4c75-9bac-6379bf209e37","NTNU-VM_HK_2019_NVE:vatnLnr:2399"
"e88cb214-23e3-49eb-bf82-ea8f5e392b7e","NTNU-VM_HK_2019_NVE:vatnLnr:51947"
"3454af6e-9241-4d59-9724-ecc7fd2bcb8d","NTNU-VM_HK_2019_NVE:vatnLnr:2402"
"15ce8798-1bd2-4b0d-a23c-e6bfc1f02e4c","NTNU-VM_HK_2019_NVE:vatnLnr:2396"
"1d1fde91-b54c-452c-aae5-282bf65fa0a0","NTNU-VM_HK_2019_NVE:vatnLnr:2411"
"91a1a81b-d1f6-4ab2-ada1-877d246acd1a","NTNU-VM_HK_2019_NVE:vatnLnr:49506"
"32e4fc23-4365-42cd-a835-a30f7dd68bf6","NTNU-VM_HK_2019_NVE:vatnLnr:1139"
"c17117d1-dafc-4bfc-8f79-a3fc450db8d8","NTNU-VM_HK_2019_NVE:vatnLnr:1138"
"ea55a189-314b-49e3-b2a4-5f140ce60660","NTNU-VM_HK_2019_NVE:vatnLnr:1137"
"016da24d-3ec5-46b3-afdb-647b9b63ea1d","NTNU-VM_HK_2019_NVE:vatnLnr:709"
"edd642e7-cea0-43b4-bb2a-388d0396a463","NTNU-VM_HK_2019_NVE:vatnLnr:693"
"3020b275-244f-461d-aa2b-740a895a86bb","NTNU-VM_HK_2019_NVE:vatnLnr:1127"
"0b52931a-605c-48bc-9e13-a67a617e7073","NTNU-VM_HK_2019_NVE:vatnLnr:1128"
"8ee5e00a-4b81-4750-9e56-db4559f26725","NTNU-VM_HK_2019_NVE:vatnLnr:1135"
"21c02de5-ee0c-4703-ab00-d523529e18f1","NTNU-VM_HK_2019_NVE:vatnLnr:1143"
