"occurrenceID","eventID","scientificName"
"urn:uuid:ef4e975d-5000-4b54-b3c6-e948951601c5","urn:uuid:0164544a-97e9-4b60-bf9b-0e8ee6a4dd36","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:681a0173-f81d-4e3c-a17b-98b314f0c22d","urn:uuid:0164544a-97e9-4b60-bf9b-0e8ee6a4dd36","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:e9d30493-4233-4193-b9be-440f724eb041","urn:uuid:0164544a-97e9-4b60-bf9b-0e8ee6a4dd36","Lota lota (Linnaeus, 1758)"
"urn:uuid:80830956-f46d-46a3-b17e-ce327ac39766","urn:uuid:0164544a-97e9-4b60-bf9b-0e8ee6a4dd36","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:8a43fdcc-543d-4935-87c8-deda0561adad","urn:uuid:0164544a-97e9-4b60-bf9b-0e8ee6a4dd36","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:7b96e7b9-05c7-4952-b19a-8eeb3446a675","urn:uuid:0164544a-97e9-4b60-bf9b-0e8ee6a4dd36","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:6608cdfd-2b65-4d32-95d3-693ea7e94494","urn:uuid:016da24d-3ec5-46b3-afdb-647b9b63ea1d","Esox lucius Linnaeus, 1758"
"urn:uuid:86c8ee03-284d-422f-8990-e785c36a1533","urn:uuid:016da24d-3ec5-46b3-afdb-647b9b63ea1d","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:9e2fbd7d-c666-410c-83c5-8c5c6387e911","urn:uuid:016da24d-3ec5-46b3-afdb-647b9b63ea1d","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:87400149-b9a5-4479-a100-c49a45b2043f","urn:uuid:016da24d-3ec5-46b3-afdb-647b9b63ea1d","Lota lota (Linnaeus, 1758)"
"urn:uuid:c02b1298-1e9b-4f76-9bc1-fd5de56cf9dc","urn:uuid:016da24d-3ec5-46b3-afdb-647b9b63ea1d","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:3b0803d8-e9cd-4b3a-8975-bb3d42e0f63f","urn:uuid:016da24d-3ec5-46b3-afdb-647b9b63ea1d","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:ff1c6175-ceae-46b3-85d3-9e54223d48ca","urn:uuid:016da24d-3ec5-46b3-afdb-647b9b63ea1d","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:22ec83b1-e21f-4024-9030-5e23b3e64e6e","urn:uuid:016dc119-357e-464f-bba8-3aeb25a8f3c5","Esox lucius Linnaeus, 1758"
"urn:uuid:c55109c8-d413-4c6c-ab8d-c95963bc5c37","urn:uuid:016dc119-357e-464f-bba8-3aeb25a8f3c5","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:4e00e588-1aea-4ed0-9bd1-b97197628a35","urn:uuid:016dc119-357e-464f-bba8-3aeb25a8f3c5","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:384f77cc-b00f-48af-b183-09f1f2dcac43","urn:uuid:016dc119-357e-464f-bba8-3aeb25a8f3c5","Lota lota (Linnaeus, 1758)"
"urn:uuid:5ca3c25c-2550-45d3-a8ed-efd881c7f41f","urn:uuid:016dc119-357e-464f-bba8-3aeb25a8f3c5","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:d3b5f4ff-70f3-47b9-9de5-270dc7b8f3d7","urn:uuid:016dc119-357e-464f-bba8-3aeb25a8f3c5","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:d766e340-fad5-411c-aa07-d5029dab7a3f","urn:uuid:016dc119-357e-464f-bba8-3aeb25a8f3c5","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:7567ce39-8f85-488d-bd1d-59b1be3190b1","urn:uuid:017eec28-fd1d-46c0-b694-e76796fc3dd3","Esox lucius Linnaeus, 1758"
"urn:uuid:e1c71d80-90a7-4284-8cce-80e9e729d273","urn:uuid:017eec28-fd1d-46c0-b694-e76796fc3dd3","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:9b09bdef-63be-49a7-aeaa-3d575d9e3dd1","urn:uuid:017eec28-fd1d-46c0-b694-e76796fc3dd3","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:99de369d-2406-46d9-b887-cc5328f5faf6","urn:uuid:017eec28-fd1d-46c0-b694-e76796fc3dd3","Lota lota (Linnaeus, 1758)"
"urn:uuid:53040984-de20-4645-95d2-f683f8c07a29","urn:uuid:017eec28-fd1d-46c0-b694-e76796fc3dd3","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:8535f87c-8a9a-4945-a19e-cd01dcf308a3","urn:uuid:017eec28-fd1d-46c0-b694-e76796fc3dd3","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:47dd3ff7-033f-42c8-9fe9-d1fa5a7bc988","urn:uuid:017eec28-fd1d-46c0-b694-e76796fc3dd3","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:4df578e1-eb31-42e5-8d95-ecfd48dca879","urn:uuid:01833904-a8bc-4414-bb88-d716d326d7e8","Esox lucius Linnaeus, 1758"
"urn:uuid:ddda8bda-9b64-45dc-b21f-dc65106994da","urn:uuid:01833904-a8bc-4414-bb88-d716d326d7e8","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:313b11ac-25dc-4d95-babd-ec2cf1830385","urn:uuid:01833904-a8bc-4414-bb88-d716d326d7e8","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:1a48a182-9eb9-40cf-84fc-097ce50b6ca1","urn:uuid:01833904-a8bc-4414-bb88-d716d326d7e8","Lota lota (Linnaeus, 1758)"
"urn:uuid:c0c9eece-e873-4f00-9390-5749a2ab8d96","urn:uuid:01833904-a8bc-4414-bb88-d716d326d7e8","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:f25174f2-4996-4e78-be0d-2e8497774b86","urn:uuid:01833904-a8bc-4414-bb88-d716d326d7e8","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:8a987200-d88d-4054-a2ff-cae133d5d744","urn:uuid:01833904-a8bc-4414-bb88-d716d326d7e8","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:7275a2fa-65d6-4f28-9d6a-688ca9e7ab97","urn:uuid:021a4f34-1de8-4323-a776-b7941ec7a2d1","Esox lucius Linnaeus, 1758"
"urn:uuid:3a689017-a163-4a34-866a-909bf4ca556a","urn:uuid:021a4f34-1de8-4323-a776-b7941ec7a2d1","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:ef0d9d31-dad9-4e3b-aaba-673479349af0","urn:uuid:021a4f34-1de8-4323-a776-b7941ec7a2d1","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:02bdc19f-07f2-4ab8-931d-88a16d052c7a","urn:uuid:021a4f34-1de8-4323-a776-b7941ec7a2d1","Lota lota (Linnaeus, 1758)"
"urn:uuid:6fe3da60-a339-4a48-a2cb-3a8335e86e23","urn:uuid:021a4f34-1de8-4323-a776-b7941ec7a2d1","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:1c778bb9-a77d-4136-aeaa-5ad042089174","urn:uuid:021a4f34-1de8-4323-a776-b7941ec7a2d1","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:b146e633-4737-4b50-84b7-1e6ca79b4f29","urn:uuid:021a4f34-1de8-4323-a776-b7941ec7a2d1","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:20214414-42c4-40ac-ac81-ae1abde010ed","urn:uuid:024f394b-69ea-49e1-9c06-ae3b3de7138a","Esox lucius Linnaeus, 1758"
"urn:uuid:b4bf8dab-6cd6-41a6-bc7f-61e2fceb9433","urn:uuid:024f394b-69ea-49e1-9c06-ae3b3de7138a","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:331ea2c0-a2a1-4b1c-8faa-07f4fef1f013","urn:uuid:024f394b-69ea-49e1-9c06-ae3b3de7138a","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:34b2f1ca-f6d4-4f54-9a00-15258b681fdf","urn:uuid:024f394b-69ea-49e1-9c06-ae3b3de7138a","Lota lota (Linnaeus, 1758)"
"urn:uuid:9f4417c7-b23a-48a6-b231-05fe00d95531","urn:uuid:024f394b-69ea-49e1-9c06-ae3b3de7138a","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:3e6f270a-4bd0-44b6-94fb-c01a3d78e9e9","urn:uuid:024f394b-69ea-49e1-9c06-ae3b3de7138a","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:bb25f2d2-bfb0-489a-8c49-2dc2841f6757","urn:uuid:024f394b-69ea-49e1-9c06-ae3b3de7138a","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:0fe7a7e4-a1fc-48ab-a2a3-cc52bf8442a8","urn:uuid:02ac4d9b-e7d4-4075-b396-4e88fb1271d1","Esox lucius Linnaeus, 1758"
"urn:uuid:5eea8177-fb45-4f00-b467-e764d6827d56","urn:uuid:02ac4d9b-e7d4-4075-b396-4e88fb1271d1","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:014f700a-7ca5-4550-b8e1-09645cb707a0","urn:uuid:02ac4d9b-e7d4-4075-b396-4e88fb1271d1","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:f1960a1e-2d77-4605-a180-2b7d7c9961a8","urn:uuid:02ac4d9b-e7d4-4075-b396-4e88fb1271d1","Lota lota (Linnaeus, 1758)"
"urn:uuid:1ae60554-4618-4c2b-8899-36f6d7d42305","urn:uuid:02ac4d9b-e7d4-4075-b396-4e88fb1271d1","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:a74bc2d5-2a3b-4145-a0d6-197884111ac5","urn:uuid:02ac4d9b-e7d4-4075-b396-4e88fb1271d1","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:e4d2a11a-df10-41fd-8b94-be7b5a5e1856","urn:uuid:02ac4d9b-e7d4-4075-b396-4e88fb1271d1","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:303cec7c-b5a1-41a6-a8df-7c259232e783","urn:uuid:02adcace-526c-48c1-9975-10cb4209d5aa","Esox lucius Linnaeus, 1758"
"urn:uuid:81060cf3-f465-418f-bb78-1b49e812d486","urn:uuid:02adcace-526c-48c1-9975-10cb4209d5aa","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:f2ee01c5-ff7f-4b6e-8490-79eb45b43bcd","urn:uuid:02adcace-526c-48c1-9975-10cb4209d5aa","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:da1bdf6c-1549-4688-a343-27f3d4aa8f2d","urn:uuid:02adcace-526c-48c1-9975-10cb4209d5aa","Lota lota (Linnaeus, 1758)"
"urn:uuid:a952a5f3-151f-464a-8dbd-b4d8732da2d2","urn:uuid:02adcace-526c-48c1-9975-10cb4209d5aa","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:fe3708de-a2b5-4903-93e1-46492ea6ac6a","urn:uuid:02adcace-526c-48c1-9975-10cb4209d5aa","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:fdd072f4-c1a0-49c9-b9e8-4168ae494aad","urn:uuid:02adcace-526c-48c1-9975-10cb4209d5aa","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:714a6162-5178-4fac-917d-7b564e933b98","urn:uuid:02f17a55-5ec1-4a2f-a81a-50591482952a","Esox lucius Linnaeus, 1758"
"urn:uuid:8258a664-1e06-491d-8262-4e8e0eaaf51a","urn:uuid:02f17a55-5ec1-4a2f-a81a-50591482952a","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:50ce0701-eada-4159-808c-fb01cb1c6717","urn:uuid:02f17a55-5ec1-4a2f-a81a-50591482952a","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:6730e4c8-4bbc-438e-ad98-d33524ee4cac","urn:uuid:02f17a55-5ec1-4a2f-a81a-50591482952a","Lota lota (Linnaeus, 1758)"
"urn:uuid:9c3276db-e882-4c78-981f-1650d39eb01a","urn:uuid:02f17a55-5ec1-4a2f-a81a-50591482952a","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:5f7b75d1-020a-4c49-a7bf-be14722ca23b","urn:uuid:02f17a55-5ec1-4a2f-a81a-50591482952a","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:a3aa40e1-2c97-4c03-9410-8b77e8af719b","urn:uuid:02f17a55-5ec1-4a2f-a81a-50591482952a","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:116807c4-cc7a-4cd1-88c1-3cd0af85546b","urn:uuid:03051af0-cfdb-4d0a-a99b-4bdcb2982273","Esox lucius Linnaeus, 1758"
"urn:uuid:721dba6c-5b71-4a18-a875-295310a73176","urn:uuid:03051af0-cfdb-4d0a-a99b-4bdcb2982273","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:56bdc4b1-80ce-4041-93bc-c6f9b6be4241","urn:uuid:03051af0-cfdb-4d0a-a99b-4bdcb2982273","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:dc6e4c10-f873-4860-bbdd-7ad315f79111","urn:uuid:03051af0-cfdb-4d0a-a99b-4bdcb2982273","Lota lota (Linnaeus, 1758)"
"urn:uuid:0d4bc49e-b17b-49f1-8745-25e59dc3b14d","urn:uuid:03051af0-cfdb-4d0a-a99b-4bdcb2982273","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:c8be8ed5-5d68-487e-aceb-b49ab65219c5","urn:uuid:03051af0-cfdb-4d0a-a99b-4bdcb2982273","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:1375bdd9-997a-40e3-b147-96bf74de972a","urn:uuid:03051af0-cfdb-4d0a-a99b-4bdcb2982273","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:4d2922d6-44d3-4254-a4e4-09831c4a5e5f","urn:uuid:03c76ab8-ae33-4c3d-86e1-db1d7564490b","Esox lucius Linnaeus, 1758"
"urn:uuid:d5c51814-8a14-4984-83de-dfd4159496b9","urn:uuid:03c76ab8-ae33-4c3d-86e1-db1d7564490b","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:a06fa090-89aa-4d9d-8279-479e87f8bef7","urn:uuid:03c76ab8-ae33-4c3d-86e1-db1d7564490b","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:28b10bc2-e9be-43d8-b02c-2a1cc59359a2","urn:uuid:03c76ab8-ae33-4c3d-86e1-db1d7564490b","Lota lota (Linnaeus, 1758)"
"urn:uuid:d5460269-960d-4db8-8e10-9ed6a39b2001","urn:uuid:03c76ab8-ae33-4c3d-86e1-db1d7564490b","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:de66fc81-4b86-4a36-86ac-e784f1a9c009","urn:uuid:03c76ab8-ae33-4c3d-86e1-db1d7564490b","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:d3b39ff2-5d4d-4c89-ae9e-de6d436cd795","urn:uuid:03c76ab8-ae33-4c3d-86e1-db1d7564490b","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:90861367-cf73-4a57-abd0-83ddadb2e213","urn:uuid:0408774f-0b02-40f5-80a2-4bcb711689a2","Esox lucius Linnaeus, 1758"
"urn:uuid:49e3df2a-7a15-436f-8763-b02f4a15edbe","urn:uuid:0408774f-0b02-40f5-80a2-4bcb711689a2","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:9651f15b-5abf-4133-bdd4-6186d087d6d9","urn:uuid:0408774f-0b02-40f5-80a2-4bcb711689a2","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:ca584ab4-e32e-4e1e-95ee-04f4d4ce159c","urn:uuid:0408774f-0b02-40f5-80a2-4bcb711689a2","Lota lota (Linnaeus, 1758)"
"urn:uuid:1c4afd0a-0510-4474-8f88-3f9cd55e7cbf","urn:uuid:0408774f-0b02-40f5-80a2-4bcb711689a2","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:6d4c5e9c-386b-48ce-98a8-203f49ea42f8","urn:uuid:0408774f-0b02-40f5-80a2-4bcb711689a2","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:a4e797e6-63bf-4f19-ad24-492bce014ced","urn:uuid:0408774f-0b02-40f5-80a2-4bcb711689a2","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:ef9285c0-f2ad-4b2e-8f5b-ac4c8e2cb9c9","urn:uuid:0442edd2-0297-4f20-b582-ff862af0ace3","Esox lucius Linnaeus, 1758"
"urn:uuid:45aaeacc-fa99-4fe3-8603-cd9a7cbb8494","urn:uuid:0442edd2-0297-4f20-b582-ff862af0ace3","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:c5429715-ae04-4e74-93b9-4d27d259793c","urn:uuid:0442edd2-0297-4f20-b582-ff862af0ace3","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:72fad885-1f8a-4e4f-a398-52ef1f8f3911","urn:uuid:0442edd2-0297-4f20-b582-ff862af0ace3","Lota lota (Linnaeus, 1758)"
"urn:uuid:bc2a8566-09c4-4bb8-83cb-31571eb06802","urn:uuid:0442edd2-0297-4f20-b582-ff862af0ace3","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:4d129615-a077-4ba6-9ad5-b02aad277190","urn:uuid:0442edd2-0297-4f20-b582-ff862af0ace3","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:6f79d699-d1d4-4328-bad0-c4acc4e7cce4","urn:uuid:0442edd2-0297-4f20-b582-ff862af0ace3","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:ec74541a-0439-432b-9781-97a233b58506","urn:uuid:0490c587-217d-4e8d-af3a-89b348335b33","Esox lucius Linnaeus, 1758"
"urn:uuid:adecb668-ef2b-4be8-85b8-120084fffd75","urn:uuid:0490c587-217d-4e8d-af3a-89b348335b33","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:15db001f-a65b-4ccb-bf2d-f4c32c8ac5b2","urn:uuid:0490c587-217d-4e8d-af3a-89b348335b33","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:8d378e12-3a42-4803-9400-4d5653b115dd","urn:uuid:0490c587-217d-4e8d-af3a-89b348335b33","Lota lota (Linnaeus, 1758)"
"urn:uuid:0aefc8f5-3791-462c-a0a7-6837e647fba3","urn:uuid:0490c587-217d-4e8d-af3a-89b348335b33","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:ec937bd0-0de8-4813-bef6-07622bc88b16","urn:uuid:0490c587-217d-4e8d-af3a-89b348335b33","Coregonus lavaretus (Linnaeus, 1758)"
"urn:uuid:22821ff7-e68b-435a-bd44-172cefd3adaa","urn:uuid:0490c587-217d-4e8d-af3a-89b348335b33","Salvelinus alpinus (Linnaeus, 1758)"
"urn:uuid:cd2aebed-24ae-4cf1-ae90-0f5c87a9ec6c","urn:uuid:04db3e0c-af67-4f1f-bfb9-f4a93e279c4b","Esox lucius Linnaeus, 1758"
"urn:uuid:1746bc19-58d4-49c3-943d-2a14d90cdc14","urn:uuid:04db3e0c-af67-4f1f-bfb9-f4a93e279c4b","Thymallus thymallus (Linnaeus, 1758)"
"urn:uuid:befaa0a9-2e72-4c6a-b79c-dd36e47b71bf","urn:uuid:04db3e0c-af67-4f1f-bfb9-f4a93e279c4b","Gasterosteus aculeatus Linnaeus, 1758"
"urn:uuid:9b60b783-a47a-443f-9166-cf812219469d","urn:uuid:04db3e0c-af67-4f1f-bfb9-f4a93e279c4b","Lota lota (Linnaeus, 1758)"
"urn:uuid:96647146-05a0-49eb-8a5a-822aa64e9c33","urn:uuid:04db3e0c-af67-4f1f-bfb9-f4a93e279c4b","Perca fluviatilis Linnaeus, 1758"
"urn:uuid:a28cbfa8-1d0f-47dc-afc1-bb6fafcf71e7","urn:uuid:04db3e0c-af67-4f1f-bfb9-f4a93e279c4b","Coregonus lavaretus (Linnaeus, 1758)"
